,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
202,2172,4,25.0,45.1,2,1760.3,75,437.0333153264235,9.676183387767013,1.9462127199367119
203,2203,4,25.0,90.1,2,1760.3,75,404.853075408191,9.479289005160979,1.9597147170312652
204,3071,4,40.0,0.1,2,1760.3,75,955.3371447164928,11.653273844043559,1.921657292156916
205,3102,4,40.0,45.1,2,1760.3,75,866.4167562545514,11.939543367746973,1.9344254763394346
206,3133,4,40.0,90.1,2,1760.3,75,534.2960905722591,7.107536347721654,2.2865112712194082
207,4001,4,50.0,0.1,2,1760.3,75,552.3152024797618,6.901639842134862,1.7151159171148922
208,4032,4,50.0,45.1,2,1760.3,75,4778.91405537603,18.249945573308636,1.7730420931044277
209,4063,4,50.0,90.1,2,1760.3,75,3696.399261471631,14.631662010095752,1.7117880848486287
210,282,4,0.001,0.1,3,3520.7,75,0.73205136,0.0,0.0
211,313,4,0.001,45.1,3,3520.7,75,386.89805228571566,4.225865313450959,1.9935320485784347
212,344,4,0.001,90.1,3,3520.7,75,11621.373770549751,24.396458009584446,1.815028732202059
213,1212,4,10.0,0.1,3,3520.7,75,405.6598809999999,0.0,0.0
214,1243,4,10.0,45.1,3,3520.7,75,405.6598809999999,0.0,0.0
215,1274,4,10.0,90.1,3,3520.7,75,684.2063376679527,12.103510764814327,3.141592653589793
216,2142,4,25.0,0.1,3,3520.7,75,782.4327840000001,0.0,0.0
217,2173,4,25.0,45.1,3,3520.7,75,782.4327840000001,0.0,0.0
218,2204,4,25.0,90.1,3,3520.7,75,782.4327840000001,0.0,0.0
219,3072,4,40.0,0.1,3,3520.7,75,0.73205136,0.0,0.0
220,3103,4,40.0,45.1,3,3520.7,75,0.73205136,0.0,0.0
221,3134,4,40.0,90.1,3,3520.7,75,0.73205136,0.0,0.0
222,4002,4,50.0,0.1,3,3520.7,75,405.6598809999999,0.0,0.0
223,4033,4,50.0,45.1,3,3520.7,75,405.6598809999999,0.0,0.0
224,4064,4,50.0,90.1,3,3520.7,75,405.6598809999999,0.0,0.0
225,284,4,0.001,0.1,5,4000.5,75,357.701569,0.0,0.0
226,315,4,0.001,45.1,5,4000.5,75,549.7103611477152,10.246591199039038,1.9139734185178046
227,346,4,0.001,90.1,5,4000.5,75,405.92132616050463,10.070500000000001,1.5707963267948966
228,1214,4,10.0,0.1,5,4000.5,75,781.258401,0.0,0.0
229,1245,4,10.0,45.1,5,4000.5,75,781.258401,0.0,0.0
230,1276,4,10.0,90.1,5,4000.5,75,392.7082755848205,0.8636792184661104,3.141592653589793
231,2144,4,25.0,0.1,5,4000.5,75,1.44913444,0.0,0.0
232,2175,4,25.0,45.1,5,4000.5,75,1.44913444,0.0,0.0
233,2206,4,25.0,90.1,5,4000.5,75,1.44913444,0.0,0.0
234,3074,4,40.0,0.1,5,4000.5,75,357.701569,0.0,0.0
235,3105,4,40.0,45.1,5,4000.5,75,357.701569,0.0,0.0
236,3136,4,40.0,90.1,5,4000.5,75,357.701569,0.0,0.0
237,4004,4,50.0,0.1,5,4000.5,75,471.39513767611595,8.386013567763012,2.1458865742147886
238,4035,4,50.0,45.1,5,4000.5,75,781.258401,0.0,0.0
239,4066,4,50.0,90.1,5,4000.5,75,781.258401,0.0,0.0
240,285,4,0.001,0.1,6,4309.7,75,1.44913444,0.0,0.0
241,316,4,0.001,45.1,6,4309.7,75,1.44913444,0.0,0.0
242,347,4,0.001,90.1,6,4309.7,75,1.44913444,0.0,0.0
243,1215,4,10.0,0.1,6,4309.7,75,357.701569,0.0,0.0
244,1246,4,10.0,45.1,6,4309.7,75,357.701569,0.0,0.0
245,1277,4,10.0,90.1,6,4309.7,75,357.701569,0.0,0.0
246,2145,4,25.0,0.1,6,4309.7,75,781.1952707096741,13.974370651476118,3.141592653589793
247,2176,4,25.0,45.1,6,4309.7,75,781.2052158906084,13.974548568569368,3.141592653589793
248,2207,4,25.0,90.1,6,4309.7,75,781.1768881206026,13.97404178504921,3.141592653589793
249,3075,4,40.0,0.1,6,4309.7,75,1.44913444,0.0,0.0
250,3106,4,40.0,45.1,6,4309.7,75,1.44913444,0.0,0.0
251,3137,4,40.0,90.1,6,4309.7,75,1.44913444,0.0,0.0
252,4005,4,50.0,0.1,6,4309.7,75,1492.7971517099522,7.25035240569686,1.8494045062969746
253,4036,4,50.0,45.1,6,4309.7,75,1221.0640869155632,6.323530008068939,1.8694285825277508
